name|type|description|prerequisites|prerequisite_feats|benefit|normal|special|source|teamwork|critical|grit|style|performance|racial|companion_familiar|race_name|note|goal|completion_benefit|multiples|suggested_traits
Sharp Senses|General|Your senses are especially sharp, even for your kind.|Keen senses racial trait.||You receive a +4 racial bonus on Perception skill checks. This replaces the normal bonus from the keen senses racial trait.|The keen senses trait normally grants a +2 racial bonus on Perception skill checks.||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Sharpclaw|Combat|Your nails are large and strong.|Ratfolk.||You gain two claw attacks. These are primary natural attacks that deal 1d4 points of damage.|||Advanced Race Guide|0|0|0|0|0|1|0|Ratfolk||||0|
Shatter Defenses|Combat|Your skill with your chosen weapon leaves opponents unable to defend themselves if you strike them when their defenses are already compromised.|Weapon Focus, Dazzling Display, base attack bonus +6, proficiency with weapon.|Weapon Focus, Dazzling Display|Any shaken, frightened, or panicked opponent hit by you this round is flat-footed to your attacks until the end of your next turn. This includes any additional attacks you make this round.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Shatter Defenses|Mythic|Your dazzling attacks leave your opponents flummoxed and bewildered, unable to attack you or to defend themselves effectively.|Shatter Defenses.|Shatter Defenses|An opponent you affect with Shatter Defenses is flat-footed to all attacks, not just yours.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Shatter Resolve|General|Damaging a foe with negative energy causes despair.|Channel negative energy class feature, worshiper of Urgathoa.||When you damage a creature by channeling negative energy, you fill it with fear. A creature that is affected by your channel negative energy ability and fails its Will save to halve the damage also becomes shaken for a number of rounds equal to the number of dice used to calculate the damage caused by the channel energy ability (so if you deal 1d6 points of damage, the condition lasts 1 round; if 2d6 points of damage, then 2 rounds, and so on).|||Faiths Of Corruption|0|0|0|0|0|0|0|||||0|
Shatterspell|Combat|Your mighty blows shatter your enemy's magic.|Disruptive, Spellbreaker, dwarf, 10th-level fighter.|Disruptive, Spellbreaker|As a standard action, you can attempt to sunder an ongoing spell effect as if you had the spell sunder rage power (Ultimate Combat 28). You may use this feat once per day, plus one additional time per day for every 5 points by which your base attack bonus exceeds +10.|||Advanced Race Guide|0|0|0|0|0|1|0|Dwarf||||0|
Shield Focus|Combat|You are skilled at def lecting blows with your shield.|Shield Proficiency, base attack bonus +1.|Shield Proficiency|Increase the AC bonus granted by any shield you are using by 1.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Shield Focus|Mythic|You're a master of using your shield for protection.|Shield Focus.|Shield Focus|Add your shield bonus and your shield's enhancement bonus to your touch AC. As an immediate action, you can expend one use of mythic power to add your shield bonus and your shield's enhancement bonus on a Fortitude or Ref lex save just before you roll it.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Shield Master|Combat|Your mastery of the shield allows you to fight with it without hindrance.|Improved Shield Bash, Shield Proficiency, Shield Slam, Two-Weapon Fighting, base attack bonus +11.|Improved Shield Bash, Shield Proficiency, Shield Slam, Two-Weapon Fighting|You do not suffer any penalties on attack rolls made with a shield while you are wielding another weapon. Add your shield's enhancement bonus to attacks and damage rolls made with the shield as if it was a weapon enhancement bonus.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Shield of Swings|Combat|A wild frenzy of attacks serves to bolster your defenses.|Str 13, Power Attack, base attack bonus +1.|Power Attack|When you take a full-attack action while wielding a two-handed weapon, you can choose to reduce the damage by 1/2 to gain a +4 shield bonus to AC and CMD until the beginning of your next turn. The reduction in damage applies until the beginning of your next turn.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Shield Proficiency|Combat|You are trained in how to properly use a shield.|||When you use a shield (except a tower shield), the shield's armor check penalty only applies to Strength- and Dexterity-based skills.|When you are using a shield with which you are not proficient, you take the shield's armor check penalty on attack rolls and on all skill checks that involve moving.|Barbarians, bards, clerics, druids, fighters, paladins, and rangers all automatically have Shield Proficiency as a bonus feat. They need not select it.|PFRPG Core|0|0|0|0|0|0|0|||||0|
Shield Slam|Combat|In the right position, your shield can be used to send opponents flying.|Improved Shield Bash, Shield Proficiency, Two-Weapon Fighting, base attack bonus +6.|Improved Shield Bash, Shield Proficiency, Two-Weapon Fighting|Any opponents hit by your shield bash are also hit with a free bull rush attack, substituting your attack roll for the combat maneuver check (see Chapter 8). This bull rush does not provoke an attack of opportunity. Opponents who cannot move back due to a wall or other surface are knocked prone after moving the maximum possible distance. You may choose to move with your target if you are able to take a 5-foot step or to spend an action to move this turn.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Shield Slam|Mythic|Your shield bash produces a powerful kick.|Shield Slam.|Shield Slam|When using Shield Slam to bull rush, an opponent knocked prone because of an intervening wall or other surface also takes damage from the collision. The damage dealt is equal to 1d6 points per 2 tiers you possess. As an immediate action, you can expend one use of mythic power to add your tier to your combat maneuver checks when resolving a bull rush made due to Shield Slam.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Shield Snag|Combat|You know how to navigate your shield around weapons and can use it to keep your balance.|Improved Shield Bash, Shield Proficiency, Two-Weapon Fighting, base attack bonus +6.|Improved Shield Bash, Shield Proficiency, Two-Weapon Fighting|Any opponents hit by your shield bash are also targeted by a free disarm attempt, substituting your attack roll for the combat maneuver check. This disarm attempt does not provoke an attack of opportunity. You cannot use this ability during the same round as a bull rush attempt made with Shield Slam or with any other abilities that affect how your shield bash works. When using a shield, you gain a +4 bonus on Strength checks to avoid being blown away by a strong wind and on Climb checks to catch yourself on a wall or slope when falling.|||Magical Marketplace|0|0|0|0|0|0|0|||||0|
Shield Specialization|Combat|You have mastered the use of one type of shield.|Proficiency with selected shield, Shield Focus, fighter level 4th.|Shield Focus|Choose one type of shield (buckler, light, heavy, or tower shield). With the selected shield, you gain a +2 bonus to your Armor Class against critical hit confirmation rolls. In addition, you may add your base shield bonus (including the bonus from Shield Focus but not including enhancement bonuses) to your CMD.||You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new type of shield.|Advanced Player's Guide|0|0|0|0|0|0|0|||||1|
Shield Wall|Combat|You form a unified defense with those around you.|Shield Proficiency.|Shield Proficiency|Whenever you are wielding a shield and are adjacent to an ally wielding a shield who also has this feat, the AC bonus from your shield increases, depending on the shield wielded by your ally. If your ally is wielding a buckler or a light shield, your shield bonus increases by +1. If your ally is wielding a heavy shield or a tower shield, your shield bonus increases by +2. You keep these bonuses even if your ally loses his shield bonus due to making a shield bash attack. If an adjacent ally with this feat uses a tower shield to grant total cover, you also benefit if an attack targeting you passes through the edge of the shield (Core Rulebook 153).|||Advanced Player's Guide|1|0|0|0|0|0|0|||||0|
Shielded Caster|General|Your allies cover you while you cast complicated spells.|||Whenever you are adjacent to an ally who also has this feat, you receive a +4 competence bonus on concentration checks. If your ally is wielding a buckler or a light shield, this bonus increases by +1. If your ally is wielding a heavy shield or a tower shield, this bonus increases by +2. Finally, if an enemy threatening you and your ally has the Disruptive feat, or another ability that increases the DC of concentration checks, the amount of the increase is halved.|||Advanced Player's Guide|1|0|0|0|0|0|0|||||0|
Shot on the Run|Combat|You can move, fire a ranged weapon, and move again before your foes can react.|Dex 13, Dodge, Mobility, Point-Blank Shot, base attack bonus +4.|Dodge, Mobility, Point-Blank Shot|As a full-round action, you can move up to your speed and make a single ranged attack at any point during your movement.|You cannot move before and after an attack with a ranged weapon.||PFRPG Core|0|0|0|0|0|0|0|||||0|
Shot On The Run|Mythic|With ease, you can snap off two shots while dashing across the battlef ield.|Shot on the Run, base attack bonus +6.|Shot on the Run|Whenever you use Shot on the Run, you can make two ranged attacks at your highest base attack bonus at any point during your movement, instead of just one.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Shrewd Tactician|Combat|Your dealings with pirates, thieves, and assassins have taught you to be exceedingly careful.|Alertness, Combat Reflexes.|Alertness, Combat Reflexes|Opponents do not gain a +2 bonus on attack rolls for flanking you, although they can still sneak attack you. You also gain a +3 bonus on Sense Motive checks made to resist a foe's Bluff checks to feint in combat.|||Inner Sea World Guide|0|0|0|0|0|0|0|||||0|
Sickening Critical|Combat|Your critical hits cause opponents to become sickened.|Critical Focus, base attack bonus +11.|Critical Focus|Whenever you score a critical hit, your opponent becomes sickened for 1 minute. The effects of this feat do not stack. Additional hits instead add to the effect's duration.||You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.|PFRPG Core|0|1|0|0|0|0|0|||||0|
Sickening Spell|Metamagic|You can sicken creatures with your spells.|||You can modify a spell to sicken a creature damaged by the spell. When a creature takes damage from this spell, they become sickened for a number of rounds equal to the original level of the spell. If the spell allows a saving throw, a successful save negates the sickening effect. If the spell does not allow a save, the target can make a Fortitude save to negate the sickening effect. If the spell effect also causes the creature to become sickened, the duration of this metamagic effect is added on to the duration of the spell. A sickening spell uses up a spell slot two levels higher than the spell's actual level. Spells that do not inflict damage do not benefit from this feat.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Sidestep|Combat|You can reposition yourself after a foe's missed swing.|Dex 13, Dodge, Mobility.|Dodge, Mobility|Whenever an opponent misses you with a melee attack, you may move 5 feet as an immediate action so long as you remain within that opponent's threatened area. This movement does not provoke attacks of opportunity. If you take this step, you cannot take a 5-foot step during your next turn. If you take an action to move during your next turn, subtract 5 feet from your total movement.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Siege Commander|Combat|Under your leadership, the time required to assemble and move a siege engine is greatly reduced.|Craft (siege weapon) 5 ranks, Knowledge (engineering) 5 ranks or Profession (siege engineer) 1 rank.||When you lead a siege engine assembly crew, you grant all of its members a +4 competence bonus on checks to assemble or move the weapon. You also halve the time required to assemble a siege engine.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Siege Engineer|Combat|You are proficient with all siege weaponry.|Knowledge (engineering) 5 ranks or Profession (siege engineer) 5 ranks, proficiency with one siege engine.||You are considered to be proficient with all siege weapons. Also, when you are crew lead for a siege engine, you do not generate mishaps on the roll of a natural 1.|Each siege engine is an exotic weapon.||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Siege Gunner|Combat|Aiming outsized siege weapons poses little difficulty for you.|Siege Engineer, Profession (siege engineer) 5 ranks.|Siege Engineer|You take no size penalty for aiming a directfire siege weapon larger than yourself. If you operate an indirect-fire siege weapon and miss, you misdirect fire by 1 square per range increment.|Direct-fire weapons impose a -2 attack roll penalty per size category by which the weapon is larger than the creature aiming it. An indirect-fire weapon that misses misdirects fire by 1d4 squares per range increment.||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Signature Deed|General|You are known for performing a particular deed, and can perform it with greater ease.|Grit class feature, gunslinger level 11th.||Pick a deed that you have access to and that you must spend grit to perform. You can perform this deed for 1 fewer grit point (minimum 0). If the amount of grit needed to perform the deed is reduced to 0, you can perform this deed for the normal action cost as long as you have at least 1 grit point.|||Ultimate Combat|0|0|1|0|0|0|0|||||0|
Silent Performer|General|You can use any bardic performance ability without making a sound.|Bardic performance class feature, Extra Performance, Master Performer, bard level 12th, Kitharodian Academy 15 TPA.|Extra Performance, Master Performer|You can use your audible-component bardic performance as visual-component bardic performances. Any bardic ability used in this manner expends 4 times as many bardic performance rounds as normal.|||Faction Guide|0|0|0|0|0|0|0|||||0|
Silent Spell|Metamagic|You can cast your spells without making any sound.|||A silent spell can be cast with no verbal components. Spells without verbal components are not affected. A silent spell uses up a spell slot one level higher than the spell's actual level.||Bard spells cannot be enhanced by this feat.|PFRPG Core|0|0|0|0|0|0|0|||||0|
Simple Weapon Proficiency|Combat|You are trained in the use of basic weapons.|||You make attack rolls with simple weapons without penalty.|When using a weapon with which you are not proficient, you take a -4 penalty on attack rolls.|All characters except for druids, monks, and wizards are automatically proficient with all simple weapons. They need not select this feat.|PFRPG Core|0|0|0|0|0|0|0|||||0|
Sin Seer|General|Unlike others who have taken the oath against undeath (see page 60), your preoccupation with the undead does not cloud your view of good and evil.|Detect undead paladin class feature.||You gain the detect evil class feature. You may use it or the detect undead class feature, but not at the same time.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Siphon Poison|General|You can remove poison from afflicted creatures.|||As a full-round action, you can remove an injury poison from a helpless or willing creature's bloodstream with a successful Heal check. The DC of this check is equal to the poison's DC. You can only draw out poison in this way within the first 2 rounds of when the target was poisoned. If the check is successful, the creature no longer suffers any additional effects from the poison. By performing this action, you do not risk poisoning yourself.|||Champions Of Purity|0|0|0|0|0|0|0|||||0|
Skeleton Summoner|General|The walking dead respond to your call.|Spell Focus (necromancy), ability to cast summon monster.|Spell Focus (necromancy)|"Add ""human skeleton"" to the list of creatures you can summon with summon monster I and ""human skeletal champion"" to the list of creatures you can summon with summon monster III. Once per day, when you cast summon monster, you may summon a skeletal version of one of the creatures on that spell's summoning list (apply the skeleton template to that creature to create this monster)."|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Skill Focus|General|Choose a skill. You are particularly adept at that skill.|||You get a +3 bonus on all checks involving the chosen skill. If you have 10 or more ranks in that skill, this bonus increases to +6.||You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new skill.|PFRPG Core|0|0|0|0|0|0|0|||||1|
Skill Focus|Mythic|You mastery with this skill is unmatched, even in difficult situations.|Skill Focus.|Skill Focus|You can always take 10 or 20 on checks with your choice of skill for Skill Focus, even when you are rushed or threatened.||You can gain this feat multiple times. The effects do not stack. Each time you take this feat, it applies to a different non-mythic Skill Focus feat.|Mythic Adventures|0|0|0|0|0|0|0|||||1|
Skilled Driver|General|Choose a type a type of vehicle (either air, land, or water). You are more skilled when driving that vehicle.|||You gain a +4 bonus on driving checks with your chosen vehicle.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Slayer's Knack|General|You know how to battle your favored enemies with such efficacy that any weapon you wield against them becomes more deadly.|Favored enemy class feature, base attack bonus +6.||When you take this feat, choose one of your favored enemy types. Against enemies of that type, the threat range of any weapon you wield is doubled. This effect does not stack with any other effect that expands a weapon's threat range.||You can take this feat multiple times. Each time you take it, you choose a different favored enemy type.|Ultimate Combat|0|0|0|0|0|0|0|||||1|
Slaying Sprint|Combat|With swift feet and deadly intent, you finish off your target before anyone sees your blade.|Dodge, Mobility, Spring Attack, base attack bonus +13|Dodge, Mobility, Spring Attack|You can move up to half your speed instead of taking a 5-foot step when taking a full-round action to perform a coup de grace. Performing a coup de grace does not provoke attacks of opportunity. You can use this feat only when wielding a light or onehanded weapon.|||Rival Guide|0|0|0|0|0|0|0|||||0|
Sleep Venom|General|You can change the nature of your toxic spittle to put your enemies to sleep.|Vishkanya.||As a swift action, you may alter the effects of your venom so the target falls unconscious. This changes the initial and secondary effect of your venom to the following: initial effect staggered for 1d4 rounds; secondary effect unconsciousness for 1 minute. You must make the decision to alter your venom before you apply it to a weapon.|Vishkanya venom deals Dexterity damage.||Advanced Race Guide|0|0|0|0|0|1|0|Vishkanya||||0|
Sleeper Hold|Combat|By maintaining a grapple hold on your opponent, you can cause it to lose consciousness.|Greater Grapple, base attack bonus +8.||You must declare that you are using this feat before you make a combat maneuver check to maintain a grapple (thus a failed check to maintain the grapple ruins the attempt). If you maintain a grapple for a number of consecutive rounds equal to your opponent's Constitution bonus (minimum 1 round), you can attempt to knock out your opponent. The victim must succeed at a Fortitude save (DC 10 + 1/2 your character level + your Str modifier) or else it falls unconscious for 1d4 rounds. Each successive round you attempt this, the target takes a cumulative -1 penalty on its saving throw. When you use this feat, you take an additional -2 penalty to your AC. Creatures that are immune to bleed damage, stunning, or critical hits are immune to this ability.|||Dragon Empires Primer|0|0|0|0|0|0|0|||||0|
Sliding Axe Throw|Combat|You may aim your thrown axe to avoid an enemy's shield and even trip your opponent.|Dex 13, base attack bonus +1.||You can choose to take a -2 penalty on a ranged attack roll with an axe, bouncing it or sliding it along the ground. If the target is flat-footed, running, or charging, this attack ignores any bonuses to the target's AC from its shield. If the attack hits, you may immediately make a trip attempt against the target as a free action. If you fail to trip your opponent, your opponent does not get an attempt to trip you in return. This ability may not work in certain circumstances as determined by the GM, such as if the ground is soft, there is an obstacle or difficult terrain on the floor between you and your target, and so on.|||Dwarves Of Golarion|0|0|0|0|0|0|0|||||0|
Sling Flail|Combat|You can use your loaded sling to effectively strike at nearby foes.|Weapon Focus (sling), base attack bonus +1.|Weapon Focus (sling)|You can make melee attacks using your loaded sling, using that weapon's normal statistics but treating it as a flail. Using a sling in this way does not expend mundane ammunition, but magical or masterwork ammunition loses its special properties after a single hit.||Any feats you have that apply when you use a flail also apply when you use a loaded sling as a melee weapon.|Ultimate Combat|0|0|0|0|0|0|0|||||0|
Slow Time|Combat|Meditation allows you to perceive time as if it were moving more slowly.|Wis 15, Combat Meditation, Meditation Master, character level 7th.|Combat Meditation, Meditation Master|Once per day, when you meditate as a full-round action using the Combat Meditation feat, you gain the effects of haste for 1 round per 2 character levels. These effects do not stack with the haste spell, the speed magic weapon special ability, or other effects granting the same result. This is an extraordinary ability.|||Faiths & Philosophies|0|0|0|0|0|0|0|||||0|
Small But Deadly|General|You have learned to make the most of certain weapons, despite your physical weakness.|Weapon Focus or natural weapon, Small size or smaller.||You ignore your Strength penalty to damage when making attacks with your racial natural weapons and weapons for which you have the Weapon Focus feat.|||Kobolds Of Golarion|0|0|0|0|0|0|0|||||0|
Smash|Combat|You overcome obstacles by breaking them.|Power Attack, half-orc.|Power Attack|When you attack an inanimate, unattended object, you ignore the first 5 points of its hardness. You also receive a +5 bonus on Strength checks made to knock down or break open doors.||The benefits of this feat do not apply to sunder attempts or attacks against constructs, only attacks on inanimate, unattended objects.|Advanced Player's Guide|0|0|0|0|0|1|0|Half-Orc||||0|
Smell Fear|General|You can catch the sour scent of fear on the wind.|Keen Scent, half-orc or orc.|Keen Scent|You receive a +4 bonus on Perception checks to detect creatures with the shaken, frightened, or panicked conditions using scent. You can substitute your Perception skill for Sense Motive skill checks if the subject has one of the previous conditions or is attempting to cover up their fear in some way.|||Advanced Player's Guide|0|0|0|0|0|1|0|Half-Orc,Orc||||0|
Snake Fang|Combat|You can unleash attacks against an opponent that has dropped its guard.|Combat Reflexes, Improved Unarmed Strike, Snake Sidewind, Snake Style, Acrobatics 6 ranks, Sense Motive 9 ranks.|Combat Reflexes, Improved Unarmed Strike, Snake Sidewind, Snake Style|While using the Snake Style feat, when an opponent's attack misses you, you can make an unarmed strike against that opponent as an attack of opportunity. If this attack of opportunity hits, you can spend an immediate action to make another unarmed strike against the same opponent.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Snake Style|Combat|You watch your foe's every movement and then punch through its defense.|Improved Unarmed Strike, Acrobatics 1 rank, Sense Motive 3 ranks.|Improved Unarmed Strike|You gain a +2 bonus on Sense Motive checks, and you can deal piercing damage with your unarmed strikes. While using the Snake Style feat, when an opponent targets you with a melee or ranged attack, you can spend an immediate action to make a Sense Motive check. You can use the result as your AC or touch AC against that attack. You must be aware of the attack and not flat-footed.|An unarmed strike deals bludgeoning damage.||Ultimate Combat|0|0|0|1|0|0|0|||||0|
Snap Shot|Combat|With a ranged weapon, you can take advantage of any opening in your opponent's defenses.|Dex 13, Point-Blank Shot, Rapid Shot, Weapon Focus, base attack bonus +6.|Point-Blank Shot, Rapid Shot, Weapon Focus|While wielding a ranged weapon with which you have Weapon Focus, you threaten squares within 5 feet of you. You can make attacks of opportunity with that ranged weapon. You do not provoke attacks of opportunity when making a ranged attack as an attack of opportunity.|While wielding a ranged weapon, you threaten no squares and can make no attacks of opportunity with that weapon.||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Snapping Turtle Clutch|Combat|Your unarmed style allows you to turn your opponent's attack into an opportunity.|Snapping Turtle Style, Improved Grapple, Improved Unarmed Strike, base attack bonus +3 or monk level 3rd.|Snapping Turtle Style, Improved Grapple, Improved Unarmed Strike|While you are using the Snapping Turtle Style feat, the shield bonus the style grants to your AC applies to your CMD and touch AC. Whenever an opponent misses you with a melee attack while you are using the Snapping Turtle Style feat, you can use an immediate action to attempt a grapple combat maneuver against that opponent, but with a -2 penalty.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Snapping Turtle Shell|Combat|Your guarding hand is almost magical in its skill at def lecting incoming blows.|Snapping Turtle Clutch, Snapping Turtle Style, Improved Grapple, Improved Unarmed Strike, base attack bonus +5 or monk level 5th.|Snapping Turtle Clutch, Snapping Turtle Style, Improved Grapple, Improved Unarmed Strike|While you are using the Snapping Turtle Style feat, the shield bonus the style grants to your AC increases to +2, and your enemies take a -4 penalty on critical confirmation rolls against you.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Snapping Turtle Style|Combat|Your deft unarmed style allows you to shield your body from harm.|Improved Unarmed Strike, base attack bonus +1 or monk level 1st.|Improved Unarmed Strike|While using the Snapping Turtle Style feat with at least one hand free, you gain a +1 shield bonus to AC.|||Ultimate Combat|0|0|0|1|0|0|0|||||0|
Snatch|Monster|This creature can grab other creatures with ease.|Size Huge or larger.||The creature can start a grapple when it hits with a claw or bite attack, as though it had the grab ability. If it grapples a creature three or more sizes smaller, it squeezes each round for automatic bite or claw damage with a successful grapple check. A snatched opponent held in the creature's mouth is not allowed a Reflex save against the creature's breath weapon, if it has one. The creature can drop a creature it has snatched as a free action or use a standard action to fling it aside. A f lung creature travels 1d6 X 10 feet, and takes 1d6 points of damage per 10 feet traveled. If the creature flings a snatched opponent while flying, the opponent takes this amount or falling damage, whichever is greater.|||Bestiary|0|0|0|0|0|0|0|||||0|
Snatch Arrows|Combat|Instead of knocking an arrow or ranged attack aside, you can catch it in mid-flight.|Dex 15, Deflect Arrows, Improved Unarmed Strike.|Deflect Arrows, Improved Unarmed Strike|When using the Def lect Arrows feat you may choose to catch the weapon instead of just def lecting it. Thrown weapons can immediately be thrown back as an attack against the original attacker (even though it isn't your turn) or kept for later use. You must have at least one hand free (holding nothing) to use this feat.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Snatch Arrows|Mythic|You can use the weapons you pluck from the air to immediately make melee attacks.|Snatch Arrows.|Snatch Arrows|When you use Snatch Arrows to catch a thrown weapon that can also be used as a melee weapon, you can make a melee attack with it as an immediate action against a foe within the weapon's melee reach. You can expend one use of mythic power to make this attack without spending an immediate action.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Sneaking Precision|General|Your knowledge of your enemies' vulnerable spots is especially punishing.|Sneak attack class feature, Critical Focus, any critical feat, base attack bonus +9.|Critical Focus|Whenever you successfully sneak attack an opponent for a second time on your turn, you can spend a swift action to apply the effects of one critical feat you know to that opponent.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Snoutgrip|Combat|You can hold an opponent's mouth shut.|Combat Expertise, Combat Reflexes, Improved Grapple, Improved Unarmed Strike, base attack bonus +12 or 10th-level monk.|Combat Expertise, Combat Reflexes, Improved Grapple, Improved Unarmed Strike|As an immediate action, whenever an opponent up to one size category larger than you misses you with its bite attack, you can attempt a grapple with a -5 penalty on the check. If you succeed, you have grappled your opponent and are holding its mouth shut, preventing it from using its bite attack, breath weapon, or spells with a verbal component until it escapes your grapple. You may make this grapple attempt even if the target is out of your reach.|||Dragonslayer's Handbook|0|0|0|0|0|0|0|||||0|
Sociable|General|You have a way of helping others to get along.|Cha 13, half-elf.||As a move action, you grant all friendly creatures within 30 feet who can see or hear you (including yourself ) a +2 bonus on Diplomacy checks for a number of rounds equal to your Charisma modifier (minimum 1 round).|||Advanced Player's Guide|0|0|0|0|0|1|0|Half-Elf||||0|
Sociable|Mythic|Your easy nature flows from you without effort, putting others at ease.|SociableAPG.|Sociable|You grant and benefit from the +2 bonus on Diplomacy checks from Sociable constantly without having to spend a move action. You can spend a move action to increase the bonus to +4 for a number of rounds equal to your tier.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Solo Maneuvers|Combat|You fight best when you're on your own.|||Whenever you are the only one threatening an opponent, you gain a +1 bonus on combat maneuvers against that creature and a +1 bonus to CMD against combat maneuvers made by that creature.|||Bastards Of Golarion|0|0|0|0|0|0|0|||||0|
Sorcerous Bloodstrike|General|You can regain power when you kill a creature.|Cha 13, sorcerer bloodline class feature.||Once per day, as an immediate action upon reducing a creature to 0 or fewer hit points with one of your sorcerer spells, you can regain one usage of a sorcerer bloodline power that has a limited number of uses per day. The slain creature must have at least half as many Hit Dice as your sorcerer level. You cannot use this feat to gain another usage of a bloodline power that you have not yet used today.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Sorcerous Strike|Combat|The power flowing through your veins also flows through your unarmed strike.|Sorcerer bloodline class feature, Improved Unarmed Strike.|Improved Unarmed Strike|When you gain this feat, you choose one bloodline power that you can use to affect a single opponent. If you make a successful unarmed strike against an opponent, in addition to dealing your unarmed strike damage, you can spend a swift action to deliver the effects of the chosen bloodline power to that opponent. Doing so provokes no attacks of opportunity.||You can take this feat multiple times. Each time you take it, you apply it to a different qualifying bloodline power.|Ultimate Combat|0|0|0|0|0|0|0|||||1|
Spear Dancer|General|You incorporate a two-handed reach weapon into a dizzying martial dance.|Weapon Focus (any twohanded reach weapon), Perform 4 ranks.||Each time you hit a creature with a two-handed reach weapon that you have Weapon Focus in, the creature is dazzled for 1 round.|||Faiths Of Purity|0|0|0|0|0|0|0|||||0|
Spell Bane|General|While your bane weapon is active, creatures that your bane affects find it more difficult to resist your spells.|Bane class feature.||While your bane class feature is affecting a creature type, the saving throw's DCs for your spells increase by +2 for creatures of that type.|||Ultimate Combat|0|0|0|0|0|0|0|||||0|
Spell Bluff|General|You know the principles of arcane dueling, and when fighting other spellcasters, you have learned to hide the true nature of your spells until the last possible moment.|Bluff 5 ranks, Spellcraft 5 ranks.||If another spellcaster tries to counterspell your casting, she adds +4 to her Spellcraft DC when trying to determine your spell. Because you have studied how to mask the recognizable elements of your spellcasting, you gain a +2 bonus on your Spellcraft checks to identify and counter an opponent's spell if it is a spell you know or have in your spellbook.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Spell Chain|General|You help your allies bypass your foes' magical defenses.|Spell Penetration.|Spell Penetration|Whenever you make a successful caster level check to overcome a target's spell resistance, the next ally who also has this feat that attempts to overcome the same target's spell resistance can roll twice when attempting his own caster level check, taking the better result. This benefit must be used within 1 round or else it is lost.|||Demon Hunter's Handbook|1|0|0|0|0|0|0|||||0|
Spell Focus|General|Choose a school of magic. Any spells you cast of that school are more difficult to resist.|||Add +1 to the Difficulty Class for all saving throws against spells from the school of magic you select.||You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new school of magic.|PFRPG Core|0|0|0|0|0|0|0|||||1|
Spell Focus|Mythic|Your magical specialties are particularly effective.|Spell Focus.|Spell Focus|Choose a school of magic you already have Spell Focus in. The bonus to save DCs provided by Spell Focus and Greater Spell Focus for that school increases by 1. You can expend one use of mythic power as part of casting a spell from your chosen school to force any of the spell's targets to roll their saving throws twice, taking the lower result.||You can gain this feat multiple times. The effects do not stack. Each time you take this feat, it applies to a different non-mythic Spell Focus feat.|Mythic Adventures|0|0|0|0|0|0|0|||||1|
Spell Hex|General|You can transform a 1st-level spell into a hex.|Major hex class feature.||Select one 1st-level spell in the class that grants you the major hex class feature. You can learn that spell as a hex, and can use that hex three times per day. This is a spell-like ability. You use your class level in the major-hex-granting class as your caster level for the spell hex. The spell hex uses your hex DC instead of its original spell DC. If the spell is a touch spell and you miss the creature, you cannot target the creature with that spell hex again for 24 hours. If the spell allows a saving throw to negate or take a partial effect from the spell, and the target succeeds at that saving throw, it cannot be affected by the spell hex for 24 hours, even if it is in the area of the spell hex.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Spell Mastery|General|You have mastered a small handful of spells, and can prepare these spells without referencing your spellbooks at all.|1st-level wizard.||Each time you take this feat, choose a number of spells that you already know equal to your Intelligence modifier. From that point on, you can prepare these spells without referring to a spellbook.|Without this feat, you must use a spellbook to prepare all your spells, except read magic.||PFRPG Core|0|0|0|0|0|0|0|||||0|
