name|type|category|requirement_race|requirement_subrace|requirement_class|requirement_alignment|requirement_other|requirement_faith|requirement_place|description|description_list|source
Secret Revolutionary|Regional|||||||||You gain a +1 trait bonus on Will saving throws against mind-affecting effects, and on Fortitude saving throws against drugs or poisons.||
Secret-Keeper|Basic|Social||||||||You gain a +1 trait bonus on Bluff checks and a +1 trait bonus on saving throws against divinations, domination effects, and effects that would compel you to speak the truth.||
Secrets of the Sphinx|Faction|||||||||Once per day, you may gain a +2 trait bonus on any single Knowledge skill check. Additionally, choose one Knowledge skill—this skill becomes a class skill for you.||
Seeker|Basic|Social||||||||You gain a +1 trait bonus on Perception checks, and Perception is always a class skill for you.||
Seeker of Brightness|Race||Elf|||||||Choose a Knowledge skill; you gain a +1 trait bonus on Knowledge checks of that type and on Perception checks.||
Seeking Adventure|Campaign|Legacy of Fire||||||||You begin with a wayfinder. A wayfinder is a magical compass that grants you a +2 circumstance bonus on Survival checks to avoid becoming lost, and can be commanded to emit light as the spell (CL 5th) as a standard action.||
Seer of Reality|Religion|||||||History, knowledge, self-perfection||You gain a +2 trait bonus on any saves involving illusion magic.||
Selective Health|Race||Aasimar|||||||You gain a +2 trait bonus on Fortitude saving throws against diseases. However, whenever you must make a Fortitude saving throw against a disease inflicted by an undead creature or evil outsider (such as mummy rot or a vrock's spores), you do not gain this bonus, and instead take a –2 penalty on your Fortitude save.||
Self-Sacrifice|Religion|||||||Beauty, art, love, music||As a move action, you can use your own body to grant soft cover to an adjacent ally regardless of the difference in your respective sizes.||
Self-Taught Scholar|Basic|Magic||||||||You gain a +1 trait bonus on Linguistics checks to decipher unfamiliar languages, and Linguistics is always a class skill for you. In addition, you gain a +1 trait bonus on Spellcraft checks made to decipher the writing on a scroll.||
Sense of Order|Religion|||||||Cities, wealth, merchants, law||You gain a +3 trait bonus on any Perception check made to identify any changes to a location that have occurred since you last visited it.||
Sensing Imperfection|Religion|||||||History, knowledge, self-perfection||Sense Motive is always a class skill for you, and you gain a +1 trait bonus on Sense Motive checks.||
Sensual Graces|Race||Dhampir|||||||You gain a +2 trait bonus on Bluff checks made against humanoids who would be attracted to you.||
Serpent Runner|Campaign|Shattered Star||||||||Choose one of the following benefits: a) Choose a specific type of armor. When wearing armor of that type, you treat its armor check penalty as if it were –1 lower, or b) when fighting with two weapons, the penalty imposed on your primary weapon is reduced by 1, or c) you gain a +2 trait bonus on Intimidate checks to demoralize opponents.||
Serpentine Squeeze|Religion|||||||Serpentfolk, immortality, poison||You gain a +1 trait bonus on combat maneuver checks to grapple a foe, as well as a +1 trait bonus to your CMD whenever an opponent tries to grapple you.||
Shackles Seafarer|Regional||||||||Islands|You gain a +1 trait bonus on Knowledge (nature) and Knowledge (geography) checks while on the ocean. You also gain a +1 trait bonus on Swim checks, and Swim is always a class skill for you.||
Shadow Child|Campaign|Council of Thieves||||||||When attacking targets in areas of dim light, you do not suffer the standard 20% miss chance on attack rolls for being in the poorly lit area.||
Shadow Diplomat|Faction|||||||||You gain a +1 trait bonus on Diplomacy checks, and Diplomacy becomes a class skill for you.||
Shadow Stabber|Race||Tiefling|||||||You gain a +2 trait bonus on melee weapon damage rolls made against foes that cannot see you.||
Shadow Whispers|Religion|||||||Greed, secrets, poison, murder||You gain a +1 trait bonus on Knowledge (local) checks and a +2 trait bonus on Intimidate checks made to demoralize opponents.||
Shadowsight|Regional|||||||||As a swift action once per day, your eyes can pierce the surrounding darkness—you gain the benefit of low-light vision for a number of rounds equal to your level.||Pathfinder Player Companion: Champions of Corruption
Shared Curse|Race||Werewolf-kin|||||||Once per day as a standard action, you can share a portion of your accursed heritage with a willing ally by dealing 1 point of damage to that ally with a natural weapon. The ally gains a natural bite attack, as if from your skinwalker ability, for 2 rounds.||
Sharkchild|Race||Wereshark-kin|||||||You gain a +1 trait bonus on Swim checks. As long as you have a swim speed (such as that granted by your bestial form), you can use the run action to move up to five times your swim speed while swimming straight down from or straight up toward the surface of the water.||
Shenmen Prospector|Regional|||||||||You gain a +1 trait bonus on Appraise and Knowledge (dungeoneering) checks.||
Shield Bearer|Race|||||||||When performing a shield bash, you deal 1 additional point of damage. Also, once per day on your turn as a free action, you may provide one adjacent ally a +2 trait bonus to his Armor Class. This bonus lasts for 1 round, so long as you and the target remain adjacent to one another. You can only use this ability if you are using a shield. You retain your shield bonus to your armor class when using this ability.||
Shift the Blame|Race||Tiefling|||||||You gain a +1 trait bonus on Bluff and Diplomacy checks made to convince someone that another person is actually at fault for your actions.||
Ship's Surgeon|Campaign|Skull & Shackles||||||||You begin play with a fully stocked healer's kit and gain a +1 trait bonus on Craft (carpentry) and Heal checks, and Heal is always a class skill for you.||
Shiv|Faction|||||||||You gain a +1 trait bonus on damage rolls made with one- handed piercing or slashing weapons in a surprise round.||
Shoanti Tribesman|Regional|||||||||Choose Climb, Survival, or Swim. You gain a +1 trait bonus on this skill, and it is always a class skill for you.||
Shoreline Skirmisher|Race||Wereshark-kin|||||||You gain a +2 trait bonus on combat maneuver checks as long as you or your opponent is on sand or in water at least 6 inches deep.||
Shrouded Casting|Basic|Magic||||||||Choose one school of magic when you pick this trait. You can cast spells from that school as if you had the Eschew Materials feat.||
Signaler|Regional|||||||||You gain a +5 trait bonus on Bluff checks to receive secret messages and a +5 trait bonus on Sense Motive checks to intercept messages.||
Signature Moves|Basic|Social||||||||Your starting equipment includes a single masterwork item worth less than 900 gp, and you gain a +1 trait bonus on Bluff and Intimidate checks while wielding this item in one or both hands.||
Silent Watcher|Regional|||||||||You gain a +1 trait bonus on Sense Motive checks in crowds, and a +1 trait bonus on Stealth checks in city streets.||
Silvertongued Eunuch|Regional|||||||||You gain a +1 trait bonus on Knowledge (nobility) and Diplomacy checks.||
Simple Disciple|Basic|Social||||||||You gain a +1 trait bonus on checks with a Profession or Craft skill of your choice.||
Skater's Balance|Race||Kobold|White-Scaled||||||You don't need to spend extra movement to enter a square of an ice sheet, and the DCs of your Acrobatics checks on ice sheets don't increase by 5.||
Skeptic|Basic|Magic||||||||You gain a +2 trait bonus on all saving throws against illusions.||
Skilled Telepath|Race||Lashunta|||||||The range of your limited telepathy racial ability increases by 5 feet.||Pathfinder Player Companion: People of the Stars
Sky Spirit Worshiper|Regional|||||||||You gain a +2 trait bonus on saving throws against fear effects.||
Skymetal Affinity|Regional|||||||||You gain a +2 trait bonus on Fortitude saves against the negative effects of skymetals, as well as a +2 trait bonus on Craft checks made to create weapons or armor out of skymetals.||Pathfinder Player Companion: People of the Stars
Slave Smuggler|Race||Halfling|||||||When hiding a Medium or smaller creature from an opponent actively searching you or your cargo, both you and the creature to be smuggled can attempt Stealth checks and select the higher of the two results for your smuggled ally to use while hiding.||
Slaver|Race|||||||||You gain a +2 trait bonus on Intimidate checks to influence primitives, but you suffer a -2 penalty on Bluff or Diplomacy checks to influence them.||
Slayer of the Deep|Regional|||||||||You gain a +1 trait bonus on damage rolls made against creatures of the aberration type.||
Slippery|Basic|Combat|||||Special Network|||You gain a +1 trait bonus on Stealth checks and Stealth is always a class skill for you.||
Slippery Step|Race||Undine|||||||You are always considered to have firm footing when fighting underwater, and you gain a +2 trait bonus on Acrobatics checks and Climb checks on wet surfaces or in wet terrain, including bogs, standing or running water, or a storm-tossed ship.||
Slithering Stride|Race||Kobold|Green-Scaled||||||For 3 rounds per day, you can move through light or heavy undergrowth at full speed. This ability doesn't work in terrain that has been magically manipulated to impede motion.||
Smoke Resistant|Race||Kobold|Red-Scaled||||||Your vision isn't impaired by non-magical smoke, and you gain a +5 trait bonus on Fortitude saves to avoid coughing and choking because of smoke inhalation. This trait confers no benefits against magically created smoke, such as that produced by pyrotechnics.||
Snake Bleeder|Regional|||||||||You gain a +2 trait bonus on Craft (alchemy) checks when brewing poisons, and Craft (alchemy) becomes a class skill for you.||
Snake Hater|Race||Aasimar|||||||You gain a +2 trait bonus on Knowledge (dungeoneering) checks and Knowledge (dungeoneering) is always a class skill for you.||
Snap Ignition|Race||Ifrit|||||||As a full-round action, you can produce a small flame at the end of your finger that ignites combustible materials as a tindertwig. Alternatively, you can maintain a flame equivalent to a candle by spending a standard action each round to concentrate on it.||
Sneaky Swimmer|Race||Kobold|Black-Scaled||||||Increase the number of rounds you can hold your breath underwater by an amount equal to your Constitution score. You gain a +2 bonus on Stealth checks in swamps and in underwater environments.||
Snowbound|Basic|Social||||||||You gain a +1 trait bonus on saving throws against cold effects and a +2 trait bonus on Fortitude saving throws against the effects of cold weather.||
Snowstride|Regional||||||||Cold Mountains|You gain a +1 trait bonus on Acrobatics checks made on slippery surfaces and enables you to trip or bull rush opponents two size categories larger than you instead of just one.||
Soaring Sprinter|Basic|Combat||||||||You gain a +2 trait bonus on Acrobatics checks to keep your balance or jump, and Acrobatics becomes a class skill for you.||
Soldier of the Faith|Regional|||||||||You gain a +1 trait bonus on Intimidate checks, and Intimidate is always a class skill for you.||
Solidarity (City of Brass)|Regional|||||||||Any time you successfully use the aid another action to help an ally succeed at a Bluff or Escape Artist check, you add a +3 bonus to this check (rather than a +2 bonus).||Pathfinder Player Companion: Blood of the Elements
Soul Eater|Race||Tiefling|||||||Whenever you use a coup de grace action to kill a creature (either by damage or through a failed Fortitude save), you gain a number of temporary hit points equal to half your character level (minimum 1) for 1 minute. These temporary hit points do not stack with multiple coups de grace.||
Soul-Drinker|Faction|||||||||Once per day as a swift action, you may gain a number of temporary hit points equal to the Hit Dice of your most recent enemy slain. This is a supernatural ability. These temporary hit points last for 1 minute.||
Sound of Mind|Regional|||||||||You gain a +2 trait bonus on saving throws against mind-affecting effects.||
Sovyrian Pantheist|Religion||Elf|||||Any elven deity||You gain a +1 trait bonus on Knowledge (history) checks to recognize or evaluate art, Knowledge (architecture and engineering) checks, Survival checks to hunt game, Constitution checks to run, and Spellcraft checks involving crystals or gems.||
Spark of Creation|Basic|Magic||||||||You gain a +1 trait bonus on Craft checks, and the cost of creating magic items is reduced by 5%.||
Speech of the Wilds|Race||Aasimar|||||||You can speak one extra language.||
Spell Duel Prodigy|Regional|||||||||You gain a +2 trait bonus on Spellcraft checks to identify a spell as it is being cast and on dispel checks to counterspell a spell.||
Spell Intuition|Basic|Faith||||||||You gain a +1 trait bonus on Spellcraft checks, and Spellcraft becomes a class skill for you.||
Sphinx Riddler|Campaign|Mummy's Mask||||||||You gain a +1 trait bonus on Bluff and Diplomacy checks against sphinxes, and a +1 trait bonus on any skill check to decipher a puzzle or riddle. In addition, you may choose Sphinx as one of your bonus languages.||
Sphinxfriend|Race||Human|||||||You gain a +1 trait bonus on Diplomacy checks, Linguistics checks made to decipher writing, and to Sense Motive checks made to discern secret messages.||
Spidery Climber |Race||Kasatha|||||||You gain a +1 trait bonus on Climb checks. In addition, as long as you have two hands free, the DC to catch yourself on a wall while falling is equal to the wall's DC + 10, and the DC to catch yourself on a slope is equal to the slope's DC + 5.||Pathfinder Player Companion: People of the Stars
Spirit Guide|Religion|||||||Fate, death, prophecy, rebirth||You gain a +2 trait bonus on Knowledge (religion) checks, and Knowledge (religion) becomes class skill for you.||
Spirit Sense|Basic|Faith||||||||You gain a +2 trait bonus on Perception checks to avoid being surprised and to detect invisible or incorporeal creatures.||
Spirit Talker|Religion|||||||Shamanistic faiths||You gain a +1 racial bonus on Will saving throws against divine spells and spell-like effects employed against you by clerics or paladins of organized religions—but you suffer a –1 penalty on Will saving throws against divine spells cast by devotees of shamanistic faiths.||
Spirits in the Stone|Race||Human|||||||You gain a +2 trait bonus on Initiative checks and a +1 trait bonus on saving throws against traps and natural hazards.||
Spiritual Forester|Regional||||||||Forests|You gain a +1 trait bonus on Knowledge (nature) and Knowledge (planes) checks, and one of these skills becomes a class skill for you.||
Sprint|Basic|Combat|Gnome|||||||If you do nothing but move in a turn (that is, if you run or use both of your actions in a round to move your speed) and you are in no armor or light armor, you may move an extra 5 feet.||
St. Clydwell's Ward|Faction||||||Member of Crusaders|||As a standard action, you can recite a holy chant that affects demons as if you were under the effect of a sanctuary spell (caster level equal to 1/2 your Hit Dice + your Charisma modifier).||
Stable|Regional|||||||||You gain a +1 trait bonus on Acrobatics checks and a +1 trait bonus to your CMB when attempting to resist trip attacks.||
Stage Magic|Equipment|||||||||When you use an alchemical item such as a flask of alchemist’s fire, smokestick, thunderstone, or another appropriate alchemical item (GM’s discretion) as part of a performance, you gain a +2 trait bonus on your Perform check for the duration of that performance. The item is expended without its normal effects and only serves to make your performance more impressive; for example, you could pretend to ignite yourself with alchemist’s fire as part of a Perform (comedy) check or make a dramatic appearance with a smokestick as part of a Perform (act) check, but you would not actually take fire damage or gain concealment from smoke.||
Stalwart of the Society|Basic|Faith|||Paladin||Society|||Your aura of courage class ability grants an additional +1 trait bonus on saving throws against fear effects.||
Starchild|Religion|||||||Dreams, stars, travelers, luck||You can automatically determine where true north is. You gain a +4 trait bonus on Survival checks to avoid becoming lost.||
Stargazer|Race|||||||||You gain a +1 trait bonus on Knowledge (geography) and Survival checks.||
Startling Report|Basic|Combat||||||||When you shoot a firearm, you gain a +2 trait bonus on Intimidate checks for 1 round against those who heard the shot.||
Statuesque (Oread)|Race||Oread|||||||Disguise becomes a class skill for you, and you gain a +2 trait bonus on Disguise checks to disguise yourself as a statue made of a specific type of stone, such as marble, sandstone, or alabaster. Furthermore, you take none of the penalties normally associated with disguising yourself as a different type of creature. You must choose the type of stone you resemble when you take this trait; once chosen, it cannot be changed.||Pathfinder Player Companion: Blood of the Elements
Stealthy Escape|Equipment|||||||||When trying to escape manacles, rope, or other similar restraints (but not grapples or similar attacks), you may make a Sleight of Hand check instead of your Escape Artist modifier. If you free yourself, you gain a +2 trait bonus on Bluff checks to pretend that you are still bound.||
Steel Skin|Basic|Combat||||||||You gain the ability to don or remove heavy armor in half the normal time. Additionally, you begin play with a great helm bearing the iconography of your family (this helm grants no special defensive benefits). While wearing this helm with a suit of heavy armor, you gain a +2 trait bonus on Intimidate checks.||
Stoic Dignity|Race||Oread|||||||As long as you are conscious, you and all allies within 10 feet gain a +1 bonus on saving throws against mind-affecting effects you are not already suffering from. This is a trait bonus for you and a morale bonus for your allies.||
Stoic Optimism|Religion|||||||Dreams, stars, travelers, luck||You receive a +2 trait bonus on saving throws against fear effects.||
Storm Hunter|Regional|||||||||When fighting in windy weather, you treat the wind category as one level lower for the purposes of determining penalties on ranged attacks made with normal weapons.||
Storm Pilot|Regional|||||||||You gain a +2 trait bonus on Profession  (sailor) checks, and you treat the wind force of environmental wind effects (see Table: Wind Effects) as one step less powerful for the purposes of determining any penalties on ranged attacks and Fly checks as well as whether you would be checked or blown away.||Pathfinder Player Companion: Blood of the Elements
Storm-Touched|Basic|Magic||||||||You gain DR 1/— against creatures and attacks with the electricity type.||
Stormrunner|Regional||||||||Islands|You’re accustomed to the pitch and yaw of sailing vessels, even in a storm, and gain a +2 trait bonus on Acrobatics checks to keep your footing on uneven ground or unsteady surfaces.||
Storyteller|Faction|||||||||Once per scenario, you can make a Knowledge skill check with a trait bonus equal to your Intelligence modifier plus 3 (minimum +1). You can make this check even if you do not have ranks in the required Knowledge skill.||
Stowaway|Campaign|Serpent's Skull||||||||You gain a +1 trait bonus on Stealth checks and Survival checks to find food.||
Stream Nomad|Regional||||||||Rivers|You gain a +1 trait bonus on Swim checks, and Swim is always a class skill for you. You increase the speed of any raft, barge, keelboat, or rowboat you pilot by 4 miles per day (1/2 mile per hour).||
Strength Foretold|Basic|Magic||||||||Once per day as a free action, you gain a +1 trait bonus to the DC of the saving throw of one of your bonus bloodline spells.||
Strength of Body|Race||Wereboar-kin|||||||Once per day, you can use your Strength modifier in place of your Constitution modifier on a single Fortitude saving throw. You must announce that you are using this ability before you roll the saving throw.||
Strength of the Barghest|Religion|||||||Goblin supremacy, slavery, territory||Once per day as a free action, you can gain a +2 trait bonus on any Strength check or Strength-based skill check.||
Strength of the Land|Basic|Magic|Dwarf|||||||You gain a +1 trait bonus on caster level checks while touching the ground or unworked stone. This includes dispel checks and checks to overcome spell resistance.||
Strength of the Sun|Religion|||||||Sun, redemption, honesty, healing||During the day, you gain a +1 trait bonus on all Charisma-based checks.||
Strip the Veils|Religion|||||||Illusions, reflections, mystery, veils||You gain a +1 trait bonus on Sense Motive checks, and Sense Motive becomes a class skill for you.||
Strong Arm, Supple Wrist|Basic|Combat||||||||Whenever you move at least 10 feet before making an attack with a thrown weapon, you add 10 feet to the range increment of the weapon thrown. You can only gain this benefit once per round.||
Strong Heart|Religion|||||||Strength, battle, weapons||You gain a +1 trait bonus on saving throws against fear effects, and the DC of Intimidate checks made against you increases by +2.||
Strong Swimmer|Religion|||||||Nature, Weather, the sea||You gain a +2 trait bonus on all Swim checks, and can hold your breath for an extra 2 rounds when underwater.||
Strong Willed|Religion|||||||Freedom, ale, wine, bravery||You gain a +2 trait bonus on saving throws against charm and compulsion effects.||
Student of Philosophy|Basic|Social||||||||You can use your Intelligence modifier in place of your Charisma modifier on Diplomacy checks to persuade others and on Bluff checks to convince others that a lie is true. (This trait does not affect Diplomacy checks to gather information or Bluff checks to feint in combat).||
Student Survivalist|Campaign|Jade Regent||||||||You have a helpful mentor NPC. You gain a +2 trait bonus on all Survival checks, and Survival is always a class skill for you. In addition, you gain a +1 trait bonus on all attack rolls against foes that threaten your mentor.||
Style Sage|Basic|Social||||||||You gain a +1 trait bonus on checks with your choice of either Knowledge (local) or Knowledge (history), and the one you choose is always a class skill for you. In addition, you gain a +1 trait bonus on Diplomacy checks made to gather information about any person with levels in monk.||
Subject of Study|Campaign|Carrion Crown||||||||Choose a non-humanoid creature type (and subtype if outsider). You gain a +1 bonus on damage rolls against creatures of this type.||
Subjective Truth|Basic|Social||||||||You gain a +2 trait bonus on Bluff checks to lie, provided the person you're lying to has never known you to lie to him. Failing this check counts as being caught in a lie by the target, negating any future use of this bonus against that person.||Pathfinder Player Companion: Champions of Corruption
Successful Shirker|Race||Halfling|||||||You gain a +1 trait bonus on Stealth checks and a +3 trait bonus on Bluff and Diplomacy checks to avoid punishment by lawful authority.||
Suck In Your Gut|Regional|||||||||You're able to move normally when squeezing and take only a –2 penalty on attack rolls and to AC.||
Suicidal|Race||Tiefling|||||||Once per day, as an immediate action, you can make yourself the target of any attack originally directed against a creature occupying an adjacent square.||
Sun Orchid Harvester|Regional||||||||Grasslands|You gain a +1 bonus on Knowledge (nature) and Survival checks made in desert environments.||
Sun-Blessed |Basic|Magic||||||||Whenever you're affected by a healing effect that would heal more hit points than your maximum hit point total, you gain the excess healing as temporary hit points. You can gain up to a number of temporary hit points per day equal to your character level in this way. These temporary hit points last for 1 minute.||Pathfinder Player Companion: People of the Stars
Superior Clutch|Race||Tiefling|||||||You gain a +1 trait bonus on damage rolls when using weapons intended for creatures of a larger size.||
Superstitious|Race|||||||||You gain a +1 trait bonus on saving throws against arcane spells.||
Superstitious|Regional||||||||Northlands|As long as you do not possess any levels in a class that grants arcane spellcasting power, you gain a +1 trait bonus on all saving throws against arcane spells.||
Superstitious Ward|Regional|||||||||You may cast disrupt undead once per day as a spell-like ability. This is cast at your highest caster level gained; if you have no caster level, it functions at CL 1st.||
Supportive|Basic|Social||||||||You gain a +1 trait bonus on skill checks to use the aid another action.||
Surface Stranger|Regional||||||||Underground|Your miss chance for concealment or total concealment due to either mundane or magical darkness decreases by 10%. You are dazzled for 1 round when you are suddenly exposed to bright light.||
Surprise Weapon|Basic|Combat||||||||You gain a +2 trait bonus on attack rolls with improvised weapons.||
Survivor|Regional|||||||||You gain a +1 trait bonus to initiative and Sense Motive checks. Sense Motive is always a class skill for you.||
Suspicious|Basic|Social||||||||You gain a +1 trait bonus on Sense Motive checks, and Sense Motive is always a class skill for you.||
Swamp Rebel|Regional|||||||||You gain a +2 trait bonus on Stealth checks in swampy terrain, and Stealth becomes a class skill for you.||
Swamp Survivor|Regional||||||||Marshlands|You gain a +2 bonus on Survival checks to find fresh water, and magical liquids in your possession gain a +2 bonus on Will saves to avoid being corrupted or otherwise spoiled.||
Sword Scion|Campaign|Kingmaker||||||||You begin play with a longsword or dueling sword and gain a +1 trait bonus on all attacks and combat maneuvers made with such weapons.||
Swordlord's Page|Regional|||||||||You gain a +1 attack bonus to confirm critical hits when using an edged weapon you are proficient with.||
Sworn Enemy|Basic|Combat||||||||Choose a creature type from ranger's list of favored enemies. You gain a +1 trait bonus on attacks of opportunity against the chosen creature type.||
Tactician|Basic|Combat||||||||You gain a +1 trait bonus on initiative checks. In addition, once per day when you make an attack of opportunity, you gain a +2 trait bonus on the attack roll.||
Tactile Telekinesis|Race|||||||||Once per day as a swift action, you can add a trait bonus equal to your Intelligence modifier on Strength checks and Strength-based skill checks you attempt before the beginning of your next turn.||Pathfinder Player Companion: People of the Stars
Talented|Basic|Social||||||||You gain a +1 trait bonus on checks with a single Perform skill (your choice), and all Perform skills are always class skills for you.||
Talented Organizer|Religion|||||||Hope, devotion, uprisings||You gain a +1 trait bonus on Sense Motive skill checks, and Sense Motive is always a class skill for you.||
Tar-Baphon's Whisper / Sotto Voce|Faction|||||||||You may cast sotto voce as a spell-like ability three times per day as a spell-like ability. This spell-like ability is cast at your highest caster level; if you have no caster level, it functions at CL 1st.||
Tattooed Mystic|Race||Human|||||||You gain a +1 trait bonus on saving throws against charm and compulsion effects. Additionally, you are proficient with bladed scarves and starknives.||
Teacher’s Pet|Campaign|Carrion Crown||||||||You gain a +2 trait bonus to one Knowledge skill of your choosing and consider it a class skill.||
Teaching Mistake|Faction|||||||||Once per scenario, when you roll a natural 1 on any saving throw, you gain a +1 trait bonus on your next saving throw, used before the end of the scenario.||
Technic Tinkerer|Regional|||||||||Choose a 0-level spell. You may cast that spell once per day as a spell-like ability. This is cast at your highest caster level gained; if you have no caster level, it functions at CL 1st.||
Tempter's Tongue|Race||Tiefling|||||||You gain a +1 trait bonus on Diplomacy checks and on opposed Charisma checks to influence creatures you have charmed (such as with charm person).||
Tenacious Shifting|Basic|Magic||||||||Any transmutation spell you cast upon yourself has its duration increased by 2 rounds. Transmutation spells with an instantaneous duration are not affected by this trait.||
Terrifying Lunge|Race||Werecrocodile-kin|||||||Once per day, when you hit a flat-footed foe with a melee attack, you can make an Intimidate check to demoralize that foe as a swift action. Intimidate becomes a class skill for you.||
The City Protects|Religion|||||||Cities, wealth, merchants, law||You gain a +2 trait bonus against fear effects. If you fail a save against a fear effect, you may make a new save each round you remain in the city to overcome the fear effect as long as the fear effect persists. If you are a paladin, this ability to make additional saves to overcome fear extends to all allies within your aura of courage.||
The Flexing Arm|Religion|||||||Bravery, competition, sport||You can use Strength instead of Dexterity as your base ability for Escape Artist skill checks.||
The Pathfinder's Exile|Campaign|Council of Thieves||||||||You gain a battered and tarnished, yet functional wayfinder. A wayfinder is a magical compass that grants you a +2 circumstance bonus on Survival checks to avoid becoming lost, and can be commanded to emit light as the spell (CL 5th) as a standard action.||
Theoretical Magician|Basic|Magic||||||||You gain a +2 trait bonus on Spellcraft checks, or a +3 bonus if you aren't a spellcaster.||
Third Eye|Basic|Magic||||||||You have a third eye on your forehead. As long as it is uncovered and open, you can get a clearer sense of the emotions of those you see, granting you a +2 trait bonus on Sense Motive checks that increases to +4 on checks to notice whether a character is under a mind-affecting effect. However, the eye is unsettling, and you take a –1 penalty on Bluff and Diplomacy checks against humanoids who can see it.||
Thoroughbred|Race||Human|||||||If you gain a horse as an animal companion or mount as one of your class abilities, its base speed increases by 5 feet and it gains a bonus trick that does not count against the normal limit of tricks known by the animal.||
Thoughtful Wish-Maker (Plane of Fire)|Regional|||||||||You gain a +2 trait bonus on Sense Motive checks. Furthermore, if you succeed at a DC 25 Sense Motive check prior to making any wish granted by an outsider, you become aware of your wish's potential pitfalls. If you succeed at this check by 5 or more, you figure out how to word your wish in such a way that your words are not twisted.||Pathfinder Player Companion: Blood of the Elements
Thrall Spotter|Race||Dhampir|||||||You gain a +5 trait bonus on Sense Motive checks made to determine whether a creature is acting under the effects of a charm or compulsion.||
Threatening Defender|Basic|Combat||||||||When you use Combat Expertise, reduce the number you subtract from your melee attack rolls by 1.||
Thrown-Together Fashion|Equipment|||||||||With a basic sewing kit or disguise kit, you can make a Disguise check to change one outfit into another outfit. The DC of this check is equal to 10 + the gp difference between costs of the outfits. The alteration takes 10 minutes per 1-gp difference in the cost of the outfits.||
Thunderborn (Sylph)|Race||Sylph|||||||Once per day when you cast a spell that deals electricity damage, you can choose to make half of the damage electricity damage and the other half sonic damage.||Pathfinder Player Companion: Blood of the Elements
Thuvian Merchant|Regional|||||||||You gain a +1 trait bonus on Appraise, Bluff, and Sense Motive checks made for business deals and transactions.||
Tianjing Temple Guard|Regional|||||||||You gain a +1 trait bonus on attacks of opportunity made with polearm weapons.||
Tiger Brigadier|Regional|||||||||You gain a +2 trait bonus on Intimidate checks made against anyone whose age is one or more aging steps above yours, and Intimidate becomes a class skill for you.||
Tiger's Claw|Race||Weretiger or Weretiger-kin|||||||Whenever you use the charge action, you gain a +1 trait bonus on your weapon damage roll.||
Tireless Avenger|Basic|Faith||||||||When you're in pursuit of one of your favored enemies, the DC for the Constitution check to avoid taking lethal damage during a forced march is 10 + 1 per extra hour, instead of 10 + 2 per extra hour.||
Tireless Logic|Basic|Social||||||||Once per day when you make an Intelligence-based skill check or ability check, you can roll twice and take the better result.||
Toilcrafter|Religion||Dwarf|||||Toil, slavery, cheating||Choose one Craft or Profession skill in which you have at least 1 rank. Ranks in your chosen skill count as your caster level for the purpose of qualifying for the Craft Magic Arms and Armor feat. You may craft +1 armor, weapons, or shields (with no special qualities), substituting your rank in the chosen skill for your caster level. You must use the chosen skill for the check to create the item. Crafting in this fashion takes twice as long as normal. These items cannot be upgraded with new abilities.||
Tomb Raider|Faction|||||||||You gain a +1 bonus on Perception and Knowledge (dungeoneering) checks, and one of these skills (your choice) becomes a class skill for you||
Tongue of Many Towns|Race|||||||||You gain a +1 trait bonus on two of the following skills: Diplomacy, Knowledge (local), and Linguistics.||
Touched by the Sea|Campaign|Skull & Shackles||||||||You gain a +1 trait bonus on Swim checks and Swim is always a class skill for you. In addition, penalties on attack rolls made underwater are lessened by 1.||
Touched by the Sky|Regional|||||||||You have the ability to stabilize a dying creature with a touch as a standard action.||
Tough Skin|Race||Tiefling|||||||You gain a +1 trait bonus to AC when opponents attempt to confirm critical hits with either bludgeoning or slashing weapons.||
Town Gossip|Regional|||||||||Choose a community that you've lived in for at least 5 years. You gain a +2 trait bonus on Diplomacy checks while in that community.||
Toxophilite|Race||Aasimar|||||||You gain a +2 trait bonus on attack rolls made to confirm critical hits with bows.||
Tracker of the Society|Basic|Combat|||Ranger||Society|||You gain a +1 trait bonus on Initiative checks and a +2 trait bonus on Survival skill checks made while traveling through any of your favored terrains. This is in addition to any bonuses you receive from your Favored Terrain class ability.||
Trade Talk|Race||Half-Elf||||Raised by humans|||You gain a +1 trait bonus on checks with the chosen skill, and a +1 trait bonus on Bluff and Sense Motive checks when dealing with people in the context of that craft or profession.||
Trailblazer|Race|||||||||While traversing any wilderness, you gain a +1 trait bonus on Survival checks, and gain a +1 trait bonus on Fortitude saving throws against diseases.||
Transitional|Race||Triaxian|||||||Once per day when you attempt a Survival check to predict the weather, you can add a trait bonus equal to 3 + 1/2 your character level. In addition, you gain a +1 trait bonus on Fortitude saves against the effects of cold and hot weather.||Pathfinder Player Companion: People of the Stars
Transmuter|Basic|Magic||||||||Whenever you cast a spell from the transmutation school, its effects manifest at +1 caster level. Additionally, select one of the following transmutation spells: bear's endurance, bull's strength, cat's grace, eagle's splendor, fox's cunning, or owl's wisdom. Once per day when you cast that spell, its duration is doubled. A spell affected by this trait cannot be modified further by the Extend Spell metamagic feat or similar abilities.||
Trap Finder|Campaign|Mummy's Mask||||||||You gain a +1 trait bonus on Disable Device checks, and that skill is always a class skill for you. In addition, you can use Disable Device to disarm magic traps, like a rogue.||
